pregunta,usuario,red_social,tema
"¿Cuál es su plan para reducir el desempleo juvenil en Colombia?",@andres_valencia,X,Economía
"¿Cómo garantizará el acceso a medicamentos para todos los colombianos?",@laura_mendez,Instagram,Salud
"¿Qué propuestas tiene para combatir el narcotráfico en las fronteras?",@miguel_torres,X,Seguridad
"¿Cómo mejorará la conectividad a internet en zonas rurales?",@diana_castro,Facebook,Infraestructura
"¿Cuál es su posición sobre la reforma pensional?",@jorge_ruiz,X,Economía
"¿Qué hará para proteger a los líderes sociales en el país?",@carolina_silva,Instagram,Seguridad
"¿Cómo enfrentará el cambio climático y la deforestación?",@felipe_morales,TikTok,Medio Ambiente
"¿Qué propone para mejorar la calidad de la educación pública?",@valentina_reyes,X,Educación
"¿Cómo combatirá la corrupción en las instituciones del Estado?",@sebastian_gomez,Facebook,Justicia
"¿Cuál es su plan para apoyar a los pequeños agricultores?",@mariana_herrera,Instagram,Política Social
"¿Qué hará para reducir la brecha salarial entre hombres y mujeres?",@camila_jimenez,X,Economía
"¿Cómo mejorará el transporte público en las ciudades principales?",@nicolas_vargas,TikTok,Infraestructura
"¿Qué propuestas tiene para el acceso a vivienda digna?",@paula_martinez,Facebook,Política Social
"¿Cómo enfrentará la violencia intrafamiliar?",@alejandro_rojas,Instagram,Seguridad
"¿Cuál es su plan para la reactivación económica post-pandemia?",@isabella_lopez,X,Economía
